Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
bc-java,,"The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms, it was developed by the Legion of the Bouncy Castle, a registered Australian Charity, with a little help! The Legion, and the latest goings on with this package, can be found at https://www.bouncycastle.org.",,https://github.com/bcgit/bc-java,,1.2K,,2.6K,,#342,,Register the whirlpool algorithm with its OID,,2018.5.14,,2028.5.15,,N/A,,160b06,
javassist/javassist,,Java bytecode engineering toolkit,,https://github.com/jboss-javassist/javassist,,720,,4.2K,,#412,,CannotCompileException: [source error] syntax error near l$lambda-0,,2022.5.7,,N/A,,N/A,,N/A,
javassist/javassist,,Java bytecode engineering toolkit,,https://github.com/jboss-javassist/javassist,,720,,4.2K,,#12,,$class is not available when inside static method ,,2014.7.4,,2015.1.2,,N/A,,N/A,
mybatis/mybatis-spring,,MyBatis-Spring adapter is an easy-to-use Spring Framework bridge for MyBatis sql mapping framework.,,https://github.com/mybatis/spring,,2.6K,,2.9K,,#1842,,Bump mockito-core from 3.2.0 to 3.2.4,,2019.12.17,,2019.12.18,,3.2.4,,de8316e ,
mybatis/mybatis-spring,,MyBatis-Spring adapter is an easy-to-use Spring Framework bridge for MyBatis sql mapping framework.,,https://github.com/mybatis/spring,,2.6K,,2.9K,,#321,,Support jdk11，when can upload mybatis 3.5.0? ,,2018.10.9,,2018.10.26,,N/A,,N/A,
google/ksp,,"Welcome to KSP!

Kotlin Symbol Processing (KSP) is an API that you can use to develop lightweight compiler plugins. KSP provides a simplified compiler plugin API that leverages the power of Kotlin while keeping the learning curve at a minimum. Compared to KAPT, annotation processors that use KSP can run up to 2x faster.",,https://github.com/google/ksp,,385,,3.4K,,#2073,,KSP memory leak in Android build ,,2024.8.30,,2024.10.11,,N/A,,d2cd414,
immutables/immutables,,Full documentation at immutables.org,,https://github.com/immutables/immutables,,293,,3.6K,,#1355,,Significant memory leak in version 2.9.0,,2022.1.23,,2022.8.22,,2.9.1,,N/A,
52North/sos ,,"The 52°North Sensor Observation Service (SOS) provides an interoperable web-based interface for inserting and querying sensor data and sensor descriptions. It aggregates observations from live in-situ sensors as well as historical data sets (time series data).

",,https://github.com/52North/SOS,,104,,130,,#561,,Cannot run on Tomcat: ClassLoaderLeakPreventor is a dork.,,2017.7.26,,2017.9.1,,N/A,,N/A,
eclipse-ee4j/jaxb-ri,,Jakarta XML Binding gives Java developers an efficient and standard way of mapping between XML and Java code. Java developers using Jakarta XML Binding are more productive because they can write less code themselves and do not have to be experts in XML. Jakarta XML Binding makes it easier for developers to extend their applications with XML and Web Services technologies.,,https://github.com/eclipse-ee4j/jaxb-ri,,125,,221,,#831,,Memory leak in com.sun.xml.bind.v2.ClassFactory ,,2011.5.2,,2018.9.22,,2.2.4u2,,N/A,
 hazelcast/hazelcast,,"The world’s leading companies trust Hazelcast to modernize applications and take instant action on data in motion to create new revenue streams, mitigate risk, and operate more efficiently. Businesses use Hazelcast’s unified real-time data platform to process streaming data, enrich it with historical context and take instant action with standard or ML/AI-driven automation - before it is stored in a database or data lake.

Hazelcast is named in the Gartner Market Guide to Event Stream Processing and a leader in the GigaOm Radar Report for Streaming Data Platforms. To join our community of CXOs, architects and developers at brands such as Lowe’s, HSBC, JPMorgan Chase, Volvo, New York Life, and others, visit hazelcast.com.

",,https://github.com/hazelcast/hazelcast,,1.9k,,6.6k,,#8387,,creating random uuid key that may cause a memory leak,,2016.6.16,,2017.3.10,,3.8,,a4ec7b0,
 hazelcast/hazelcast,,"The world’s leading companies trust Hazelcast to modernize applications and take instant action on data in motion to create new revenue streams, mitigate risk, and operate more efficiently. Businesses use Hazelcast’s unified real-time data platform to process streaming data, enrich it with historical context and take instant action with standard or ML/AI-driven automation - before it is stored in a database or data lake.

Hazelcast is named in the Gartner Market Guide to Event Stream Processing and a leader in the GigaOm Radar Report for Streaming Data Platforms. To join our community of CXOs, architects and developers at brands such as Lowe’s, HSBC, JPMorgan Chase, Volvo, New York Life, and others, visit hazelcast.com.

",,https://github.com/hazelcast/hazelcast,,1.9k,,6.6k,,#7831,,Memory leaks messages when app undeployed in Tomcat,,2016.3.24,,2017.3.10,,3.8,,1b19f48 ,
micrometer-metrics/micrometer,,An application metrics facade for the most popular monitoring tools. Instrument your code with dimensional metrics with a vendor neutral interface and decide on the monitoring backend at the last minute.,,https://github.com/micrometer-metrics/micrometer,,1.1k,,4.8k,,#7184,,ClassLoader leak (Metaspace OOM) caused by static ThreadLocals in DoubleFormat ,,2026.2.11,,N/A,,N/A,,N/A,
micrometer-metrics/micrometer,,An application metrics facade for the most popular monitoring tools. Instrument your code with dimensional metrics with a vendor neutral interface and decide on the monitoring backend at the last minute.,,https://github.com/micrometer-metrics/micrometer,,1.1k,,4.8k,,#657,,io.micrometer.shaded.io.netty.util.internal.InternalThreadLocalMap - Tomcat complains probable memory leak,,2018.6.15,,N/A,,N/A,,N/A,
apache/karaf,,"Apache Karaf is a modulith runtime, supporting several frameworks and programming model (REST/API, web, spring boot, ...). It provides turnkey features that you can directly leverage without effort, packaged as mutable or immutable application.

",,https://github.com/apache/karaf,,661,,704,,#2141,,Feature: Allow to update non-snapshot bundles via bundle:watch,,2025.11.5,,N/A,,N/A,,N/A,
grails/grails-core,,"Apache Grails is a framework used to build web applications with the Apache Groovy programming language. Releases prior to 7.0.0 were outside of the Apache Software Foundation. The core framework is very extensible and there are numerous plugins available that provide easy integration of add-on features. To assist in getting started, various Application generators exist and are provided by the Apache Grails team.",,https://github.com/apache/grails-core,,971,,2.9K,,#2142,,GRAILS-5798: Improve StreamCharBuffer.toString() performance ,,2010.1.27,,2015.5.27,,1.2.1,,N/A,
grails/grails-core,,"Apache Grails is a framework used to build web applications with the Apache Groovy programming language. Releases prior to 7.0.0 were outside of the Apache Software Foundation. The core framework is very extensible and there are numerous plugins available that provide easy integration of add-on features. To assist in getting started, various Application generators exist and are provided by the Apache Grails team.",,https://github.com/apache/grails-core,,971,,2.9K,,#11024,,Spring CommonsRequestLoggingFilter not log body,,2018.6.8,,N/A,,N/A,,N/A,
jruby/jruby,,JRuby is an implementation of the Ruby language using the JVM.,,https://github.com/jruby/jruby,,938,,3.9K,,#1842,,Dir#glob and escaped commas,,2014.7.21,,2017.1.20,,9.1.8.0,,e927035,
jruby/jruby,,JRuby is an implementation of the Ruby language using the JVM.,,https://github.com/jruby/jruby,,938,,3.9K,,#102,,fix test for windows line terminating chars \r\n,,2011.12.9,,2011.12.10,,N/A,,ac67ee8,
eclipse-ee4j/jersey,,Jersey is a REST framework that provides JAX-RS Reference Implementation and more. Jersey provides its own APIs that extend the JAX-RS toolkit with additional features and utilities to further simplify RESTful service and client development. Jersey also exposes numerous extension SPIs so that developers may extend Jersey to best suit their needs.,,https://github.com/eclipse-ee4j/jersey,,376,,725,,#5772,,Memory leak through threadlocal in NonInjectionManager ,,2024.10.18,,2025.1.9,,3.1.10,,N/A,
microsoft/mssql-jdbc,,"Welcome to the Microsoft JDBC Driver for SQL Server project!

The Microsoft JDBC Driver for SQL Server is a Type 4 JDBC driver that provides database connectivity through the standard JDBC application program interfaces (APIs) available in the Java Platform, Enterprise Editions. The Driver provides access to Microsoft SQL Server and Azure SQL Database from any Java application, application server, or Java-enabled applet.

",,https://github.com/microsoft/mssql-jdbc,,465,,1.1K,,#314,,ActivityCorrelator is causing a classloader leak ,,2017.5.26,,2017.9.22,,N/A,,953e4a0,
 open-telemetry/opentelemetry-java,,"opentelemetry-java is the home of the Java implementation of the OpenTelemetry API for recording telemetry, and SDK for managing telemetry recorded by the API.",,https://github.com/open-telemetry/opentelemetry-java,,957,,2.4K,,#7083,,Memory leak as a result of no cleanup for ThreadLocal in CodedOutputStream,,2025.2.8,,N/A,,N/A,,N/A,
mockito/mockito,,"Most popular mocking framework for Java

",,https://github.com/mockito/mockito,,2.7K,,15.4K,,#177,,Add API to remove internal ThreadLocal values when done with Mockito ,,2015.2.25,,2016.7.1,,N/A,,b6c84be,
spring-projects/spring-framework,,"This is the home of the Spring Framework: the foundation for all Spring projects. Collectively the Spring Framework and the family of Spring projects are often referred to simply as ""Spring"".

Spring provides everything required beyond the Java programming language for creating enterprise applications for a wide range of scenarios and architectures. Please read the Overview section of the reference documentation for a more complete introduction.

",,https://github.com/spring-projects/spring-framework,,38.9k,,59.8k,,#12099,,ThreadLocal leaking in AbstractBeanFactory and XmlBeanDefinitionReader [SPR-7441],,2010.8.10,,2011.6.16,,3.0.6,,N/A,
spring-cloud/spring-cloud-sleuth ,,Spring Cloud Sleuth’s last minor version is 3.1. You can check the 3.1.x branch for the latest commits.,,https://github.com/spring-cloud/spring-cloud-sleuth,,778,,1.8K,,#27,,Use ThreadLocal.remove() to prevent memory leaks,,2015.8.19,,2015.8.19,,N/A,,44e4a2d,
mp911de/logstash-gelf,,"This project is now archived, after a decade of maintenance, with 36 releases and several occasional contributors. The project is feature complete, and we see little issue traffic. With me being the sole maintainer, it is about time to turn off the lights here and move on to free up time for other duties. K, thx, good bye.

",,https://github.com/mp911de/logstash-gelf,,109,,428,,#104,,Classloader leak can lead to PermGen/Metaspace OutOfMemoryError,,2017.1.23,,2018.3.19,,N/A,,499df59,
akka/akka-core,,"Akka is a powerful platform that simplifies building and operating highly responsive, resilient, and scalable services.",,https://github.com/akka/akka-core,,3.6K,,13.3K,,#24838,,Memory leak due to not removed ThreadLocal in akka.dispatch.forkjoin.ForkJoinPool$Submitter,,2018.4.3,,2019.5.21,,2.6.0,,N/A,
eclipse-ee4j/glassfish-grizzly,,"Eclipse GlassFish is a Jakarta EE compatible implementation sponsored by the Eclipse Foundation.

",,https://github.com/eclipse-ee4j/glassfish-grizzly,,170,,435,,#25932,,[BUG] ClassLoader Leak (Metaspace OOM) due to Unmanaged ThreadLocal in SerialContext ,,2026.2.19,,N/A,,N/A,,N/A,
eclipse-ee4j/glassfish-grizzly,,"Eclipse GlassFish is a Jakarta EE compatible implementation sponsored by the Eclipse Foundation.

",,https://github.com/eclipse-ee4j/glassfish-grizzly,,170,,435,,#21421,,SEVERE error message in server.log caused by deploy then undeploy of war ,,2015.8.27,,2020.4.2,,5.0.1,,N/A,
apache/beam,,"Apache Beam is a unified model for defining both batch and streaming data-parallel processing pipelines, as well as a set of language-specific SDKs for constructing pipelines and Runners for executing them on distributed processing backends, including Apache Flink, Apache Spark, Google Cloud Dataflow, and Hazelcast Jet.

",,https://github.com/apache/beam,,4.5K,,8.5K,,#25510,,[Bug]: beam (even word count example) on flink ( session mode job submission in flink) results in memory leak when submitting job multiple times,,2023.2.16,,2024.1.10,,2.54.0,,d4388b9,
apache/beam,,"Apache Beam is a unified model for defining both batch and streaming data-parallel processing pipelines, as well as a set of language-specific SDKs for constructing pipelines and Runners for executing them on distributed processing backends, including Apache Flink, Apache Spark, Google Cloud Dataflow, and Hazelcast Jet.

",,https://github.com/apache/beam,,4.5K,,8.5K,,#29890,,[Bug]: Flink Job manager metaspace classloader leak caused by not releasing PipelineOptionFactory DESERIALIZATION_CONTEXT,,2024.1.2,,2024.1.10,,2.54.0,,d4388b9,
playframework/playframework,,"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala. Play is developer friendly with a ""just hit refresh"" workflow and built-in testing support. With Play, applications scale predictably due to a stateless and non-blocking architecture. By being RESTful by default, including assets compilers, JSON & WebSocket support, Play is a perfect fit for modern web & mobile applications.

",,https://github.com/playframework/playframework,,4K,,12.6K,,#4649,,[2.4] Still a thread leak in development environment ,,2015.6.11,,N/A,,N/A,,N/A,
dcm4che/dcm4che,,"This is a complete rewrite of dcm4che-2.x.

One main focus was to minimize the memory footprint of the DICOM data sets. It already provides modules to store/fetch configuration data to/from LDAP, compliant to the DICOM Application Configuration Management Profile, specified in DICOM PS 3.15, Annex H.",,https://github.com/dcm4che/dcm4che,,693,,1.4K,,#1560,,ClassLoader Leak / Metaspace OOM due to uncleaned static ThreadLocal in SpecificCharacterSet,,2026.2.18,,N/A,,N/A,,N/A,
vaadin/framework,,"Vaadin allows you to build modern web apps efficiently in plain Java, without touching low level web technologies.

This repository serves as an archive of the source code and issue tracking for Vaadin 8 and Vaadin 7. Both use GWT as the base of client-side implementations. Vaadin 8 includes Vaadin 7 compatibility classes. You can find source code and issue tracking for newer, web component based Vaadin versions in vaadin/platform.

The code in this repository reflects the state of Vaadin 8.14.3 and Vaadin 7.7.17, the last releases made available under the Apache-2 license, and will be left as-is.

",,https://github.com/vaadin/framework,,721,,1.8K,,#6652,,Push enabled leaks threads and ThreadLocals,,2015.4.23,,2016.6.27,,7.6.7,,1c9a244,
Netflix/eureka,,"Eureka is a RESTful (Representational State Transfer) service that is primarily used in the AWS cloud for the purpose of discovery, load balancing and failover of middle-tier servers. It plays a critical role in Netflix mid-tier infra.",,https://github.com/Netflix/eureka,,3.8K,,12.7K,,#1207,,Redeploying an Eureka server does not stop all threads and timers,,2019.5.24,,2019.11.14,,N/A,,689b6fa,
eclipse-ee4j/metro-jax-ws,,"This project contains Jakarta XML Web Services implementation, an implementation of Jakarta Web Services Metadata and Jakarta XML Web Services Specifications.",,https://github.com/eclipse-ee4j/metro-jax-ws,,44,,78,,#98,,Memory leak on ThreadLocalContainerResolver,,2020.1.21,,2022.5.27,,3.X,,586a7c9,
payara/Payara,,"Payara Platform Community Edition features open-source server runtimes for development projects and containerized Jakarta EE and MicroProfile applications.

Payara Server Community is a cloud-native, innovative open-source middleware platform for development projects that supports Jakarta EE (Java EE) applications in any environment: on-premise, in the cloud or hybrid. Payara Micro Community is the open-source, lightweight middleware platform of choice for containerized Jakarta EE (Java EE) microservices deployments in development. Less than 70MB, Payara Micro requires no installation, configuration or code rewrites.",,https://github.com/payara/Payara,,319,,911,,#4098,,Out of memory after number of redeployments ,,2019.7.22,,2021.1.26,,N/A,,bb96e1d,
firebase/firebase-admin-java,,"Firebase provides the tools and infrastructure you need to develop apps, grow your user base, and earn money. The Firebase Admin Java SDK enables access to Firebase services from privileged environments (such as servers or cloud) in Java. Currently this SDK provides Firebase custom authentication support, and Firebase realtime database access.",,https://github.com/firebase/firebase-admin-java,,306,,604,,#272,,io.grpc.Context and Firestore,,2019.5.22,,2019.5.25,,N/A,,N/A,
vivo-project/VIVO,,"VIVO is an open source semantic web tool for research discovery -- finding people and the research they do.

VIVO supports editing, searching, browsing and visualizing research activity in order to discover people, programs, facilities, funding, scholarly works and events. VIVO's search returns results faceted by type for rapid retrieval of desired information across disciplines.",,https://github.com/vivo-project/VIVO,,140,,231,,#2671,,VIVO-987: Fix "memory leak" messages at shutdown ,,2015.3.9,,2018.2.24,,N/A,,N/A,
apache/logging-log4j2,,"Apache Log4j is a versatile, industrial-grade Java logging framework composed of an API, its implementation, and components to assist the deployment for various use cases. For further information (support, download, etc.) see the project website.",,https://github.com/apache/logging-log4j2,,1.7K,,3.6K,,#1234,,Bump spotless-maven-plugin from 2.27.2 to 2.31.0,,2023.2.1,,N/A,,N/A,,N/A,
qos-ch/logback,,The Logback documentation can be found on the project web-site as well as under the docs/ folder of the logback distribution.,,https://github.com/qos-ch/logback,,1.4K,,3.2K,,#354,,Repair Profile Update Listening is invalid：Because the other jar cont,,2017.1.5,,N/A,,N/A,,N/A,
quartz-scheduler/quartz,,"Quartz is a richly featured, open source job scheduling library that can be integrated within virtually any Java application - from the smallest stand-alone application to the largest e-commerce system.",,https://github.com/quartz-scheduler/quartz,,2K,,6.7K,,#421,,"CronExpression.getTimeBefore() using getTimeAfter()
",,2019.4.2,,N/A,,N/A,,N/A,
open-telemetry/opentelemetry-java,,"opentelemetry-java is the home of the Java implementation of the OpenTelemetry API for recording telemetry, and SDK for managing telemetry recorded by the API.",,https://github.com/open-telemetry/opentelemetry-java,,957,,2.4K,,#8002,,[Bug] ThreadLocal Leak in Context.makeCurrent() causes Trace ID Pollution,,2026.1.22,,N/A,,N/A,,N/A,
seasarorg/dbflute,,"DBFlute (for Java6,7)",,seasarorg/dbflute,,6,,22,,#8,,[Bug] Severe Context Pollution and Privilege Escalation Risk via Unmanaged ThreadLocal in AccessContext,,2026.2.20,,2026.2.24,,1.3.2,,N/A,
spring-projects/spring-security,,Spring Security provides security services for the Spring IO Platform. Spring Security 6.0 requires Spring 6.0 as a minimum and also requires Java 17.,,https://github.com/spring-projects/spring-security,,6.3K,,9.5K,,#1826,,SEC-1587: HttpSessionSecurityContextRepository should clear session context when current context is anonmous or empty,,2010.10.7,,2011.2.17,,3.1.0,,N/A,
spring-projects/spring-security,,Spring Security provides security services for the Spring IO Platform. Spring Security 6.0 requires Spring 6.0 as a minimum and also requires Java 17.,,https://github.com/spring-projects/spring-security,,6.3K,,9.5K,,#11973,,SecurityReactorContextSubscriber#LoadingMap fails to retrieve Authentication,,2022.10.8,,N/A,,N/A,,N/A,
apache/hudi,,"Apache Hudi is an open data lakehouse platform, built on a high-performance open table format to ingest, index, store, serve, transform and manage your data across multiple cloud data environments.",,https://github.com/apache/hudi,,2.5K,,6.1K,,#17985,,[Bug] ThreadLocal Leak in HoodieCombineHiveInputFormat due to unsafe cleanup,,2026.1.22,,N/A,,N/A,,N/A,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,16.3k,,34.9k,,#10046,,[Netty 4] Unable to decorate EventLoop or Channel to inject ThreadLocal context,,2020.2.19,,2025.11.14,,N/A,,N/A,
netflix/Hystrix,,"Hystrix is no longer in active development, and is currently in maintenance mode.",,https://github.com/Netflix/Hystrix,,4.7k,,24.5k,,#2117,,ThreadLocal pollution in HystrixTimer causing metric attribution errors due to unsafe thread reuse ,,2026.2.10,,N/A,,N/A,,N/A,
Kotlin/kotlinx.coroutines,,"Library support for Kotlin coroutines with multiplatform support. This is a companion version for the Kotlin 2.1.0 release.

",,https://github.com/Kotlin/kotlinx.coroutines,,1.9k,,13.7k,,#4121,,ThreadLocal.asContextElement may not be cleaned up when used with Dispatchers.Main.immediate,,2024.5.3,,N/A,,N/A,,N/A,
Kotlin/kotlinx.coroutines,,"Library support for Kotlin coroutines with multiplatform support. This is a companion version for the Kotlin 2.1.0 release.

",,https://github.com/Kotlin/kotlinx.coroutines,,1.9k,,13.7k,,#1028,,Provide safety mechanisms for working with thread-locals,,2019.3.6,,2019.3.27,,N/A,,0355b2c,
AsyncHttpClient/async-http-client,,"AsyncHttpClient (AHC) is a high-performance, asynchronous HTTP client for Java built on top of Netty. It supports HTTP/1.1, HTTP/2, and WebSocket protocols",,https://github.com/AsyncHttpClient/async-http-client,,1.6k,,6.4k,,#1408,,Support MDC/ThreadLocal variable propagation across async contexts,,2017.4.29,,N/A,,N/A,,N/A,
reactor/reactor-core,,Non-Blocking Reactive Streams Foundation for the JVM both implementing a Reactive Extensions inspired API and efficient event streaming support.,,https://github.com/reactor/reactor-core,,1.2k,,5.2k,,#3142,,"Disable flaky BoundedElasticScheduler test
",,2022.8.8,,2022.8.9,,N/A,,e5eeeb9,
reactor/reactor-core,,Non-Blocking Reactive Streams Foundation for the JVM both implementing a Reactive Extensions inspired API and efficient event streaming support.,,https://github.com/reactor/reactor-core,,1.2k,,5.2k,,#3840,,Huge Performance Overhead From ContextPropagation With Mircrometer Tracing ,,2024.7.4,,2024.8.27,,3.6.9,,eaa889e,
ReactiveX/RxJava,,RxJava is a Java VM implementation of Reactive Extensions: a library for composing asynchronous and event-based programs by using observable sequences.,,https://github.com/ReactiveX/RxJava,,7.6K,,48.4K,,#1842,,Actioni,,2014.11.11,,2014.11.12,,1,,fd1ad6a,
apache/dubbo,,"Apache Dubbo is a powerful and user-friendly Web and RPC framework. It supports multiple language implementations such as Java, Go, Python, PHP, Erlang, Rust, and Node.js/Web.

Dubbo provides solutions for communication, service discovery, traffic management, observability, security, tooling, and best practices for building enterprise-grade microservices.

",,https://github.com/apache/dubbo/issues/1664,,26.5K,,41.7K,,#6142,,Remove deprecated sudo setting,,2020.5.12,,2021.2.24,,N/A,,N/A,
apache/dubbo,,"Apache Dubbo is a powerful and user-friendly Web and RPC framework. It supports multiple language implementations such as Java, Go, Python, PHP, Erlang, Rust, and Node.js/Web.

Dubbo provides solutions for communication, service discovery, traffic management, observability, security, tooling, and best practices for building enterprise-grade microservices.

",,https://github.com/apache/dubbo/issues/1664,,26.5K,,41.7K,,#5423,,"Grpc protocol enhance
",,2019.12.4,,2019.12.5,,N/A,, 1cd29b6,
alibaba/Sentinel,,"As distributed systems become increasingly popular, the reliability between services is becoming more important than ever before. Sentinel takes ""flow"" as breakthrough point, and works on multiple fields including flow control, traffic shaping, concurrency limiting, circuit breaking and system adaptive overload protection, to guarantee reliability and resilience for microservices.",,https://github.com/alibaba/Sentinel,,8.1K,,23.1K,,#1542,,"add sentinel-quarkus-adapter
",,2020.6.13,,2020.6.15,,N/A,,1bf3945,
alibaba/Sentinel,,"As distributed systems become increasingly popular, the reliability between services is becoming more important than ever before. Sentinel takes ""flow"" as breakthrough point, and works on multiple fields including flow control, traffic shaping, concurrency limiting, circuit breaking and system adaptive overload protection, to guarantee reliability and resilience for microservices.",,https://github.com/alibaba/Sentinel,,8.1K,,23.1K,,#1152,,The Sentinel dashboard retrieves monitoring data and aggregates it,,2019.11.10,,2022.10.15,,N/A,,N/A,
apache/skywalking,,"SkyWalking: an APM (Application Performance Monitoring) system, especially designed for microservices, cloud native and container-based architectures.",,https://github.com/apache/skywalking,,6.6K,,24.8K,,#3142,,Java agent cannot trace gRPC stream service ,,2019.7.22,,2019.8.3,,N/A,, 532f430,
apache/skywalking,,"SkyWalking: an APM (Application Performance Monitoring) system, especially designed for microservices, cloud native and container-based architectures.",,https://github.com/apache/skywalking,,6.6K,,24.8K,,#4122,,Is the microservice registry and discovery center supported by Consu,,2019.12.25,,2019.12.25,,7.0.0,,N/A,
sofastack/sofa-rpc,,"SOFARPC is a high-performance, high-extensibility, production-level Java RPC framework. In Ant Financial, SOFARPC has been used for more than ten years and developing for five generations. SOFARPC is dedicated to simplify RPC calls between applications, and provide convenient, no code intrusion, stable, and efficient point-to-point remote service invocation solutions for applications. For user and developer easy to improve features, SOFARPC provides a wealth of model abstraction and extensible interfaces, including filter, routing, load balancing, and so on. At the same time, it provides a rich MicroService governance solution around the SOFARPC framework and its surrounding components.",,https://github.com/sofastack/sofa-rpc,,1.2k,,3.9k,,#421,,"Add auth support for zookeeper registry
",,2018.12.12,,2018.12.29,,N/A,,d063253,
apache/shardingsphere,,"Building the standards and ecosystem on top of heterogeneous databases, empowering enterprise data architecture transformation",,https://github.com/apache/shardingsphere,,6.9k,,20.7k,,#2142,,OpenTracingSQLExecutionHook.toStringList NullPointerException ,,2019.4.1,,2019.6.12,,4.0.0,,deb0d55,
apache/shardingsphere,,"Building the standards and ecosystem on top of heterogeneous databases, empowering enterprise data architecture transformation",,https://github.com/apache/shardingsphere,,6.9k,,20.7k,,#2143,,"Support SpringBoot for encryptDataSource
",,2019.4.1,,2019.4.2,,4.0.0,, 2fe4983 ,
apache/servicecomb-java-chassis,,"Apache ServiceComb Java Chassis is a Software Development Kit (SDK) for rapid development of microservices in Java, providing service registration, service discovery, dynamic routing, and service management features.

",,https://github.com/apache/servicecomb-java-chassis,,821,,1.9k,,#1841,,[SCB-2006]dependency update: remove log4j2 from solution-basic and up…,,2020.6.18,,2020.6.18,,N/A,, fefe3ec ,
apache/servicecomb-java-chassis,,"Apache ServiceComb Java Chassis is a Software Development Kit (SDK) for rapid development of microservices in Java, providing service registration, service discovery, dynamic routing, and service management features.

",,https://github.com/apache/servicecomb-java-chassis,,821,,1.9k,,#1522,,"The interface return value is defined as a ResponseEntity, but why is the Body of the return value empty?",,2020.1.11,,2020.10.12,,N/A,,N/A,
apache/shiro,,"Apache Shiro is a powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management. With Shiro’s easy-to-understand API, you can quickly and easily secure any application – from the smallest mobile applications to the largest web and enterprise applications.",,https://github.com/apache/shiro,,2.3K,,4.4K,,#2141,,chore(deps): bump org.owasp:dependency-check-maven from 12.1.2 to 12.1.3,,2025.6.11,,2025.6.11,,1.13.X,, efca355 ,
apache/shiro,,"Apache Shiro is a powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management. With Shiro’s easy-to-understand API, you can quickly and easily secure any application – from the smallest mobile applications to the largest web and enterprise applications.",,https://github.com/apache/shiro,,2.3K,,4.4K,,#324,,"[BUILD] github actions from main (copied).
",,2021.9.26,,2021.9.26,,1.9.X,,8.99E+07,
line/armeria,,"Armeria is your go-to microservice framework for any situation. You can build any type of microservice leveraging your favorite technologies, including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard.

",,https://github.com/line/armeria,,988,,5.1K,,#2412,,"Auto-generate gRPC examples with default fields
",,2020.1.21,,2020.1.22,,N/A,, e16cdfa,
spring-cloud/spring-cloud-gateway,,spring-cloud/spring-cloud-gateway,,https://github.com/spring-cloud/spring-cloud-gateway,,3.4k,,4.9K,,#3690,,Automatic Context Propagation fails to work with MDC logging in reactive API Gateway,,2025.2.6,,N/A,,N/A,,N/A,
open-telemetry/opentelemetry-java-instrumentation,,This project provides a Java agent JAR that can be attached to any Java 8+ application and dynamically injects bytecode to capture telemetry from a number of popular libraries and frameworks. You can export the telemetry data in a variety of formats. You can also configure the agent and exporter via command line arguments or environment variables. The net result is the ability to gather telemetry data from a Java application without code changes.,,https://github.com/open-telemetry/opentelemetry-java-instrumentation,,1.1K,,2.5K,,#7840,,How opentelemetry support async framwork?,,2023.2.16,,N/A,,N/A,,N/A,
elastic/elasticsearch,,"Elasticsearch is a distributed search and analytics engine, scalable data store and vector database optimized for speed and relevance on production-scale workloads. Elasticsearch is the foundation of Elastic’s open Stack platform. Search in near real-time over massive datasets, perform vector searches, integrate with generative AI applications, and much more.

",,https://github.com/elastic/elasticsearch,,25.8K,,76.4K,,#56766,,VersionsAndSeqNoResolver may experience delayed ThreadLocal cleanup with high pressure writing to ES,,2020.5.14,,2023.2.27,,N/A,,7f80f2d,
elastic/elasticsearch,,"Elasticsearch is a distributed search and analytics engine, scalable data store and vector database optimized for speed and relevance on production-scale workloads. Elasticsearch is the foundation of Elastic’s open Stack platform. Search in near real-time over massive datasets, perform vector searches, integrate with generative AI applications, and much more.

",,https://github.com/elastic/elasticsearch,,25.8K,,76.4K,,#142095,,CPU livelock in ThreadLocal$ThreadLocalMap.expungeStaleEntry triggered by EngineResetLock read lock unlock during Update operations ,,2026.2.9,,N/A,,N/A,,N/A,
micrometer-metrics/tracing,,A application tracing facade.,,https://github.com/micrometer-metrics/tracing,,56,,293,,#174,,Traceid and spanid wrong when using Kotlin Reactor Coroutines,,2023.2.21,,N/A,,N/A,,N/A,
