Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
karatelabs/karate,,"The open-source tool that combines API testing, mocks, performance testing, and UI automation into a single, unified framework.",,https://github.com/karatelabs/karate,,2K,,8.8K,,#2745,,[BUG] Severe Memory & Data Leak: Unmanaged static ThreadLocal in ScenarioEngine ,,2026.2.18,,2026.3.31,,2.0.0,,N/A,
vaadin/framework,,"Vaadin allows you to build modern web apps efficiently in plain Java, without touching low level web technologies.

This repository serves as an archive of the source code and issue tracking for Vaadin 8 and Vaadin 7. Both use GWT as the base of client-side implementations. Vaadin 8 includes Vaadin 7 compatibility classes. You can find source code and issue tracking for newer, web component based Vaadin versions in vaadin/platform.

",,https://github.com/vaadin/framework,,721,,1.8K,,#7719,,Vaadin Push stops working,,2016.6.20,,2012.11.6,,8.9.3,,f12a6e7,
collinsmith/riiablo,,"This is my attempt at rebuilding Diablo II from scratch. There is still a long way to go, but a lot of the core is there. The game itself uses 100% original Diablo II assets which are not (and will never be) provided, i.e., you should already own a copy of the game to play this. I am going to do my best to remain faithful to the original game, however I am planning on changing and adding additional features as I think they become necessary (e.g., auto gold pickup). I will write articles in the future explaining how I was able to accomplish certain things, and how some core systems work.

Unlike the original game, this version supports just about any reasonable aspect ratio (4:3, 16:9, 18:9, 21:9), however by design I'm locking the game to 480px in height because the original game assets are all geared for that (i.e., the width is dynamic). The expansion did introduce 800x600 support, and I may end up supporting for the desktop version in the future (specifically for some multiplayer lobby stuff), but it's not necessary for the core functionality. The mobile version currently uses 360px height to make selecting UI elements easier, however since much of the UI panels are 480px, in-game is locked at 480px, but I will change this in the future or at least provide scaling on a per-component basis (text). This does run on Android, and I have been using a Galaxy Note 5 as the min spec when testing, but older phones may work as well, especially after optimizations have been made. I can already play Diablo II on PC, my goal is to be able to sit back and play it casually with my friends while also supporting cross-platform play. This game supports local play that can then be taken online (similar to Open Battle.net), with a more secure option being far beyond that.",,https://github.com/collinsmith/riiablo,,118,,1.1K,,#105,,Log4j2 causing compilation fail on android,,2020.8.24,,2020.8.28,,N/A,,685349f,
grpc-ecosystem/grpc-spring,,"Dear gRPC/Spring users, in order to enhance the user experience of grpc-ecosystem/grpc-spring, we have developed this survey as a means of establishing a direct line of communication. Your feedback is highly appreciated",,https://github.com/grpc-ecosystem/grpc-spring,,884,,3.7K,,#1159,,How to manage request-scoped data and MDC effectively in gRPC unary calls?,,2025.1.10,,N/A,,N/A,,N/A,
openzipkin/brave,,"Brave is a distributed tracing instrumentation library. Brave typically intercepts production requests to gather timing data, correlate and propagate trace contexts. While typically trace data is sent to Zipkin server, third-party plugins are available to send to alternate services such as Amazon X-Ray.

",,https://github.com/openzipkin/brave,,716,,2.4K,,#1022,,Allow setting remoteServiceName with TracingKafkaClientSupplier,,2019.10.31,,2019.10.31,,N/A,, cddd22c,
Netflix/zuul,,"Zuul is an L7 application gateway that provides capabilities for dynamic routing, monitoring, resiliency, security, and more. Please view the wiki for usage, information, HOWTO, etc https://github.com/Netflix/zuul/wiki",,https://github.com/Netflix/zuul,,2.4K,,14K,,#1324,,"build(deps): bump log4j-slf4j-impl from 2.18.0 to 2.19.0
",,2022.10.13,,2022.10.17,,N/A,,0d924d6,
spring-projects/spring-kafka,,spring-projects/spring-kafka,,https://github.com/spring-projects/spring-kafka,,1.7k,,2.5k,,#1422,,SIK Docs - flushExpression,,2020.3.24,,2020.3.24,,N/A,, 5123b70,
spring-cloud/spring-cloud-openfeign,,Declarative REST Client: Feign creates a dynamic implementation of an interface decorated with JAX-RS or Spring MVC annotations,,https://github.com/spring-cloud/spring-cloud-openfeign,,827,,1.3k,,#412,,Add support for passing hints to LoadBalancer.,,2020.10.2,,2020.10.2,,N/A,,3c3b9a5 ,
Netflix/concurrency-limits,,Java Library that implements and integrates concepts from TCP congestion control to auto-detect concurrency limits for services in order to achieve optimal throughput with optimal latency.,,https://github.com/Netflix/concurrency-limits,,324,,3.5k,,#124,,Feature/do not absorb exception in servlet filter,,2019.5.2,,2019.5.5,,N/A,, b1f8914 ,
elastic/apm-agent-java,,Please fill out this survey to help us prioritizing framework support: https://docs.google.com/forms/d/e/1FAIpQLScd0RYiwZGrEuxykYkv9z8Hl3exx_LKCtjsqEo1OWx8BkLrOQ/viewform?usp=sf_link,,https://github.com/elastic/apm-agent-java,,326,,588,,#1024,,"Updating Trace Context headers implementation
",,2020.2.6,,2020.2.14,,1.1.4.0,, 9528d35,
elastic/apm-agent-java,,Please fill out this survey to help us prioritizing framework support: https://docs.google.com/forms/d/e/1FAIpQLScd0RYiwZGrEuxykYkv9z8Hl3exx_LKCtjsqEo1OWx8BkLrOQ/viewform?usp=sf_link,,https://github.com/elastic/apm-agent-java,,326,,588,, #2142,,added r2dbc plugin,,2021.9.21,,2022.6.15,,N/A,,N/A,
micronaut-projects/micronaut-core,,"Micronaut Framework is a modern, JVM-based, full stack Java framework designed for building modular, easily testable JVM applications with support for Java, Kotlin and the Groovy language.",,https://github.com/micronaut-projects/micronaut-core,,1.2k,,6.4k,,#3122,,Exception after a request was closed by client,,2020.4.30,,N/A,,N/A,,N/A,
micronaut-projects/micronaut-core,,"Micronaut Framework is a modern, JVM-based, full stack Java framework designed for building modular, easily testable JVM applications with support for Java, Kotlin and the Groovy language.",,https://github.com/micronaut-projects/micronaut-core,,1.2k,,6.4k,,#2141,,Micronaut CLI SSL certificate error,,2019.9.20,,2019.9.22,,N/A,,N/A,
jooby-project/jooby,,"Jooby is a modular, high-performance web framework for Java and Kotlin. Designed for simplicity and speed, it gives you the freedom to build on your favorite server with a clean, modern API.",,https://github.com/jooby-project/jooby,,200,,1.8k,,#1422,,"Bump hibernate-core from 5.4.8.Final to 5.4.9.Final
",,2019.11.15,,2019.11.16,,2.3.1,, 2133b7a,
jooby-project/jooby,,"Jooby is a modular, high-performance web framework for Java and Kotlin. Designed for simplicity and speed, it gives you the freedom to build on your favorite server with a clean, modern API.",,https://github.com/jooby-project/jooby,,200,,1.8k,,#1542,,ebean maven plugin does not generate querybean,,2020.2.18,,2020.3.17,,2.6.2,,N/A,
dropwizard/dropwizard,,"Dropwizard is a sneaky way of making fast Java web applications.

",,https://github.com/dropwizard/dropwizard,,3.4k,,8.6k,,#2312,,JPMS builds fail due to split package (logback.core) in dropwizard-logging:1.3.0,,2018.3.21,,2019.9.17,,N/A,,81c0fd2,
dropwizard/dropwizard,,"Dropwizard is a sneaky way of making fast Java web applications.

",,https://github.com/dropwizard/dropwizard,,3.4k,,8.6k,, #1842,,"General Code Improvements
",,2016.11.28,,2016.11.28,,N/A,,97ef814,
grpc/grpc-java,,gRPC-Java supports Java 8 and later. Android minSdkVersion 23 (Marshmallow) and later are supported with Java 8 language desugaring.,,https://github.com/grpc/grpc-java,,4k,,12k,,#5122,,"context: make Deadline toString() more readable
",,2018.12.6,,2018.12.6,,N/A,,2d65449,
grpc/grpc-java,,gRPC-Java supports Java 8 and later. Android minSdkVersion 23 (Marshmallow) and later are supported with Java 8 language desugaring.,,https://github.com/grpc/grpc-java,,4k,,12k,,#2142,,withWaitForReady is missing from AbstractStub,,2018..8.9,,2016.11.29,,N/A,, 6dc4633,
samtools/htsjdk,,"HTSJDK is an implementation of a unified Java library for accessing common file formats, such as SAM and VCF, used for high-throughput sequencing data. There are also a number of useful utilities for manipulating HTS data.

",,https://github.com/samtools/htsjdk,,242,,297,,#1636,,"Make AbstractVCFCodec thread-safe, allowing for multi-threaded VariantContext genotype decoding",,2022.11.17,,N/A,,N/A,,N/A,
wso2/product-is,,"WSO2 Identity Server is a powerful, modern identity and access management solution for your on-premises or cloud environment. It enables organizations to deliver exceptional, trusted digital experiences to all types of users.",,https://github.com/wso2/product-is,,962,,848,,#1616,,Authentication Error when login to Identity Server using another Identity Server using OAuth2 ,,2017.12.15,,2021.4.10,,5.6.0,,a73c22e,
openapitools/openapi-generator,,"If you find OpenAPI Generator useful for work, please consider asking your company to support this Open Source project by becoming a sponsor. You can also individually sponsor the project by becoming a backer.",,https://github.com/OpenAPITools/openapi-generator,,7.5k,,26.1k,,#21729,,[BUG][Java][HttpClient] Memory leak with virtual threads,,2025.8.12,,2025.8.22,,N/A,,dbe0419,
spring-projects/spring-boot,,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.

",,https://github.com/spring-projects/spring-boot,,41.9k,,80.3K,,#35604,,No traces info anymore in implementation classes of AbstractErrorWebExceptionHandler,,2023.5.23,,N/A,,N/A,,N/A,
spring-cloud/spring-cloud-sleuth ,,"Spring Cloud Sleuth provides Spring Boot auto-configuration for distributed tracing.

",,https://github.com/spring-cloud/spring-cloud-sleuth,,778,,1.8k,,#1058,,Sleuth using same traceId for all the messages received from websocket client ,,2018.8.14,,2019.1.6,,N/A,,N/A,
square/leakcanary,,A memory leak detection library for Android.,,https://github.com/square/leakcanary,,4K,,29.9K,,#429,,java.lang.Thread.localValues (named 'main') leaks Activity ,,2016.2.23,,2016.9.19,,N/A,,N/A,
Kotlin/kotlinx.coroutines,,"Library support for Kotlin coroutines with multiplatform support. This is a companion version for the Kotlin 2.1.0 release.

",,https://github.com/Kotlin/kotlinx.coroutines,,1.9K,,13.7K,,#2116,,Android crashes when opening profile,,2020.7.1,,2020.7.2,,N/A,,N/A,
Kotlin/kotlinx.coroutines,,"Library support for Kotlin coroutines with multiplatform support. This is a companion version for the Kotlin 2.1.0 release.

",,https://github.com/Kotlin/kotlinx.coroutines,,1.9K,,13.7K,,#4296,,UndispatchedCoroutine leaks CoroutineContext via thread local when using custom ContinuationInterceptor,,2024.12.12,,2024.12.20,,1.8.x,, f8c0304,
google/guice,,"Put simply, Guice alleviates the need for factories and the use of new in your Java code. Think of Guice's @Inject as the new new. You will still need to write factories in some cases, but your code will not depend directly on them. Your code will be easier to change, unit test and reuse in other contexts.

Guice embraces Java's type safe nature. You might think of Guice as filling in missing features for core Java. Ideally, the language itself would provide most of the same features, but until such a language comes along, we have Guice.

Guice helps you design better APIs, and the Guice API itself sets a good example. Guice is not a kitchen sink. We justify each feature with at least three use cases. When in doubt, we leave it out. We build general functionality which enables you to extend Guice rather than adding every feature to the core framework.

Guice aims to make development and debugging easier and faster, not harder and slower. In that vein, Guice steers clear of surprises and magic. You should be able to understand code with or without tools, though tools can make things even easier. When errors do occur, Guice goes the extra mile to generate helpful messages.

For an introduction to Guice and a comparison to new and the factory pattern, see Bob Lee's video presentation. After that, check out our user's guide.

We've been running Guice in mission critical applications since 2006, and now you can, too. We hope you enjoy it as much as we do.",,https://github.com/google/guice,,1.7k,,12.7k,,#1929,,[Bug] Memory Leak Risk in SingletonScope via Anonymous Provider (Implicit Outer Reference),,2026.2.21,,N/A,,N/A,,N/A,
google/guice,,"Put simply, Guice alleviates the need for factories and the use of new in your Java code. Think of Guice's @Inject as the new new. You will still need to write factories in some cases, but your code will not depend directly on them. Your code will be easier to change, unit test and reuse in other contexts.

Guice embraces Java's type safe nature. You might think of Guice as filling in missing features for core Java. Ideally, the language itself would provide most of the same features, but until such a language comes along, we have Guice.

Guice helps you design better APIs, and the Guice API itself sets a good example. Guice is not a kitchen sink. We justify each feature with at least three use cases. When in doubt, we leave it out. We build general functionality which enables you to extend Guice rather than adding every feature to the core framework.

Guice aims to make development and debugging easier and faster, not harder and slower. In that vein, Guice steers clear of surprises and magic. You should be able to understand code with or without tools, though tools can make things even easier. When errors do occur, Guice goes the extra mile to generate helpful messages.

For an introduction to Guice and a comparison to new and the factory pattern, see Bob Lee's video presentation. After that, check out our user's guide.

We've been running Guice in mission critical applications since 2006, and now you can, too. We hope you enjoy it as much as we do.",,https://github.com/google/guice,,1.7k,,12.7k,,#1510,,Cycle detection in a multi-thread environment leads to OutOfMemoryError,,2021.4.8,,2023.4.19,,7.0.0,,8cf8c62,
simpleinjector/SimpleInjector,,"The goal of Simple Injector is to provide .NET application developers with an easy, flexible, and fast Dependency Injection library that promotes best practice to steer developers towards the pit of success.

",,https://github.com/simpleinjector/SimpleInjector,,153,,1.3k,,#956,,Fix memory leak caused by use of ThreadLocal<bool> inside CyclicDependencyValidator,,2022.9.28,,2022.9.29,,5.4.1,,8b0f605,
simpleinjector/SimpleInjector,,"The goal of Simple Injector is to provide .NET application developers with an easy, flexible, and fast Dependency Injection library that promotes best practice to steer developers towards the pit of success.

",,https://github.com/simpleinjector/SimpleInjector,,153,,1.3k,,#323,,Concurrency bug when resolving a decorated instance (CyclicDependencyException is thrown),,2016.10.27,,2016.11.2,,3.2.5,, 689c1d6,
OpenLiberty/open-liberty,,"A lightweight open framework for building fast and efficient cloud-native Java microservices:Open Liberty is fast to start up with low memory footprint and live reload for quick iteration.
Simple to add and remove features from the latest versions of MicroProfile and Java EE.
Zero migration lets you focus on what's important, not the APIs changing under you.",,https://github.com/OpenLiberty/open-liberty,,631,,1.2k,,#15042,,"multi-thread in server.xml, but only two instances are running, got CWWKZ0002E error on others ",,2020.11.19,,2021.1.8,,N/A,,N/A,
LWJGL/lwjgl3,,"LWJGL (https://www.lwjgl.org) is a Java library that enables cross-platform access to popular native APIs useful in the development of graphics (OpenGL/Vulkan), audio (OpenAL) and parallel computing (OpenCL) applications. This access is direct and high-performance, yet also wrapped in a type-safe and user-friendly layer, appropriate for the Java ecosystem.",,https://github.com/LWJGL/lwjgl3,,693,,5.3k,,#428,,Bullet C API first thoughts,,2018.11.19,,2021.10.21,,3.2.3,, aa99234,
killme2008/aviatorscript,,"It's not a game, it's a programming language. Please refrain from sending me any more unsolicited emails.RTFM",,https://github.com/killme2008/aviatorscript,,898,,5.2k,,#392,,Memory leak after running for a long time,,2021.6.15,,2021.6.23,,5.2.6,,e651fc1,
material-components/material-components-android,,"Material Components for Android (MDC-Android) help developers execute Material Design. Developed by a core team of engineers and UX designers at Google, these components enable a reliable development workflow to build beautiful and functional Android apps.

Material Components for Android is a drop-in replacement for Android's Design Support Library.",,https://github.com/material-components/material-components-android,,3.2k,,17.2k,,#1440,,[ProgressIndicator] setProgressCompat with animation results in memory leak,,2020.6.25,,2020.7.11,,N/A,, fabd36f,
square/retrofit,,"A type-safe HTTP client for Android and Java.

For more information please see the website.",,https://github.com/square/retrofit,,7.4K,,43.9K,,#945,,RxSupport seems to leak a subscriber,,2015.7.7,,2015.7.17,,N/A,,ff78b5a,
facebook/stetho,,"Stetho is a sophisticated debug bridge for Android applications. When enabled, developers have access to the Chrome Developer Tools feature natively part of the Chrome desktop browser. Developers can also choose to enable the optional dumpapp tool which offers a powerful command-line interface to application internals.

",,https://github.com/facebook/stetho,,1.1K,,12.7K,,#319,,Memory leak in Stetho 1.2.0 ,,2015.12.16,,2017.3.12,,N/A,,a2eb108,
mockito/mockito,,"Most popular mocking framework for Java

",,https://github.com/mockito/mockito,,2.7K,,15.4K,,#2011,,Stackoverflow error when upgrading to v3.5.2 ,,2020.8.20,,2020.8.26,,3.5.6,,24d8d79,
ben-manes/caffeine,,"Caffeine is a high performance, near optimal caching library. For more details, see our user's guide and browse the API docs for the latest release.

",,https://github.com/ben-manes/caffeine,,1.7k,,17.6k,,#515,,Possible JDK16 issue in 3.0.0: ThreadLocal not initialised?,,2021.3.18,,2021.3.18,,3.0.1,,cbc71f2,
ben-manes/caffeine,,"Caffeine is a high performance, near optimal caching library. For more details, see our user's guide and browse the API docs for the latest release.

",,https://github.com/ben-manes/caffeine,,1.7k,,17.6k,,#612,,Bump tech.picnic.error-prone-support:error-prone-contrib from 0.9.0 to 0.10.0,,2023.5.5,,2023.5.5,,N/A,, 0f1f70d,
typetools/checker-framework,,The Checker Framework: pluggable type-checking for Java,,https://github.com/typetools/checker-framework,,436,,1.1k,,#1,,Stub file bugs,,2015.7.3,,2015.7.3,,N/A,,3ab729a,
testcontainers/testcontainers-java,,"Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container.",,https://github.com/testcontainers/testcontainers-java,,1.8K,,8.6K,,#2276,,Container.followOutput() leaks thread,,2020.1.22,,2020.5.7,,N/A,,N/A,
quarkusio/quarkus,,"Quarkus is a Cloud Native, (Linux) Container First framework for writing Java applications.",,https://github.com/quarkusio/quarkus,,3.1K,,15.6K,,#39696,,Avoid ThreadLocals while using VirtualThreads ,,2024.3.26,,N/A,,N/A,,N/A,
samtools/htsjdk,,"HTSJDK is an implementation of a unified Java library for accessing common file formats, such as SAM and VCF, used for high-throughput sequencing data. There are also a number of useful utilities for manipulating HTS data.

",,https://github.com/samtools/htsjdk,,242,,297,,#1581,,VCFHeader and VCFHeaderLine rewrite/refactoring,,2021.11.10,,N/A,,N/A,,N/A,
samtools/htsjdk,,"HTSJDK is an implementation of a unified Java library for accessing common file formats, such as SAM and VCF, used for high-throughput sequencing data. There are also a number of useful utilities for manipulating HTS data.

",,https://github.com/samtools/htsjdk,,242,,297,,#1596,,VCF 4.3 writing.,,2022.3.1,,N/A,,N/A,,N/A,
square/picasso,,"Attention: This library is deprecated. Please use alternatives like Coil for future projects, and start planning to migrate existing projects, especially if they rely on Compose UI. Existing versions will continue to function, but no new work is planned. While some changes may land in the repo as we support internal legacy usage and migration, there will be no more public releases to Maven Central.

Thank you to all who used and/or contributed to Picasso over its decade of image loading.",,https://github.com/square/picasso,,4K,,19K,,#1841,,"Push InputStream down, make okio.Source first-class",,2018.3.25,,2018.3.25,,N/A,, b32c429,
grpc/grpc-java,,"gRPC-Java supports Java 8 and later. Android minSdkVersion 23 (Marshmallow) and later are supported with Java 8 language desugaring.

TLS usage on Android typically requires Play Services Dynamic Security Provider. Please see the Security Readme.

Older Java versions are not directly supported, but a branch remains available for fixes and releases. See gRFC P5 JDK Version Support Policy.",,https://github.com/grpc/grpc-java,,4K,,12K,,#3142,,Java performance benchmarks dirty shutdown,,2017.6.27,,2018.4.10,,N/A,,N/A,
owlcs/owlapi,,"The OWL API is a Java API for creating, manipulating and serialising OWL Ontologies.

",,https://github.com/owlcs/owlapi,,314,,893,,#343,,ELProfile incorrectly rejects DisjointClasses axioms.  ,,2015.2.12,,2015.2.13,,N/A,,26e8d48,
brettwooldridge/HikariCP,,"Fast, simple, reliable. HikariCP is a ""zero-overhead"" production ready JDBC connection pool. At roughly 165Kb, the library is very light. Read about how we do it here.",,https://github.com/brettwooldridge/HikariCP,,3K,,21.1K,,#39,,Tomcat 7.0.50 shutdown issue ,,2014.3.2,,2014.3.2,,1.3.2,,07d630d,
objectbox/objectbox-java,,"ObjectBox Java is a lightweight yet powerful on-device database & vector database designed specifically for Java and Kotlin applications. Store and manage data effortlessly in your Android or JVM Linux, macOS or Windows app with ObjectBox. Easily manage vector data alongside your objects and perform superfast on-device vector search to empower your apps with RAG AI, generative AI, and similarity search. Enjoy exceptional speed, battery-friendly resource usage, and environmentally-friendly development. ",,https://github.com/objectbox/objectbox-java,,305,,4.6K,,#1190,,TimeoutException in version 4.0.2 ,,2024.9.19,,2026.1.26,,5.1.0,,N/A,
google/volley,,"Volley is an HTTP library that makes networking for Android apps easier and, most importantly, faster.",,https://github.com/google/volley,,754,,3.4K,,#114,,Cache/NetworkDispatcher leaking finished requests,,2017.10.31,,2017.11.11,,1.1.0,,536c1b7,
open-telemetry/opentelemetry-java-instrumentation,,This project provides a Java agent JAR that can be attached to any Java 8+ application and dynamically injects bytecode to capture telemetry from a number of popular libraries and frameworks. You can export the telemetry data in a variety of formats. You can also configure the agent and exporter via command line arguments or environment variables. The net result is the ability to gather telemetry data from a Java application without code changes.,,https://github.com/open-telemetry/opentelemetry-java-instrumentation,,1.1K,,2.5K,,#10747,,Posible deadlock with Java 21 Virtual Threads ,,2024.3.5,,2024.3.19,,N/A,, e38093c,
jfrog/artifactory-docker-examples,,"This repository's examples are deprecated and are not maintained anymore.
You should now use the official JFrog Artifactory installers.

",,https://github.com/jfrog/artifactory-docker-examples,,296,,336,,#160,,Increasing number of replicas of pods for Artifactory causes crashes,,2019.4.26,,2019.5.8,,N/A,,N/A,
highcharts/highcharts,,Highcharts JS is a JavaScript charting library based on SVG and some canvas/WebGL.,,https://github.com/highcharts/highcharts,,3.9K,,12.4K,,#3786,,Export server: possible memory leak?,,2015.2.4,,2018.9.13,,2.2.4,,N/A,
elastic/elasticsearch,,"Elasticsearch is a distributed search and analytics engine, scalable data store and vector database optimized for speed and relevance on production-scale workloads. Elasticsearch is the foundation of Elastic’s open Stack platform. Search in near real-time over massive datasets, perform vector searches, integrate with generative AI applications, and much more.

",,https://github.com/elastic/elasticsearch,,25.8K,,76.4K,,#21453,,Reject DELETE requests with a body,,2016.11.10,,N/A,,N/A,,N/A,
apache/spark,,"Spark is a unified analytics engine for large-scale data processing. It provides high-level APIs in Scala, Java, Python, and R (Deprecated), and an optimized engine that supports general computation graphs for data analysis. It also supports a rich set of higher-level tools including Spark SQL for SQL and DataFrames, pandas API on Spark for pandas workloads, MLlib for machine learning, GraphX for graph processing, and Structured Streaming for stream processing.",,https://github.com/apache/spark,,29.1K,,43.1K,,#15234,,[SPARK-17660] [SQL] DESC FORMATTED for VIEW Lacks View Definition,,2016.9.25,,2016.9.28,,N/A,, 2ab24a7,
spring-projects/spring-batch,,"Spring Batch is a lightweight, comprehensive batch framework designed to enable the development of robust batch applications vital for the daily operations of enterprise systems. Spring Batch builds upon the productivity, POJO-based development approach, and general ease of use capabilities people have come to know from the Spring Framework, while making it easy for developers to access and leverage more advanced enterprise services when necessary.",,https://github.com/spring-projects/spring-batch,,2.5K,,2.9K,,#1524,,Allow customisation of FlatFileItemWriter [BATCH-2070],,2013.7.29,,2021.5.7,,2.2.1,,N/A,
square/okhttp,,"See the project website for documentation and APIs.

HTTP is the way modern applications network. It’s how we exchange data & media. Doing HTTP efficiently makes your stuff load faster and saves bandwidth.",,https://github.com/square/okhttp,,9.3K,,46.9K,,#2142,,okhttp3.internal.Version class object not found ,,2015.12.22,,2015.12.22,,N/A,,N/A,
aws/aws-sdk-java-v2,,"The AWS SDK for Java 2.0 is a rewrite of 1.0 with some great new features. As with version 1.0, it enables you to easily work with Amazon Web Services but also includes features like non-blocking IO and pluggable HTTP implementation to further customize your applications. You can get started in minutes using Maven or any build system that supports MavenCentral as an artifact source.

SDK Homepage",,https://github.com/aws/aws-sdk-java-v2,,995,,2.6K,,#1524,,Non mitigated CVEs in netty libraries ,,2019.11.25,,2019.12.27,,2.0.4,,311ca9a,
googleapis/google-cloud-java,,"See the official guide to get setup and started with development.

",,https://github.com/googleapis/google-cloud-java,,1.1K,,2K,,#2142,,Storage: support signed URL on GAE and GCE ,,2017.6.13,,2017.11.16,,N/A,,b7f72bd,
alibaba/fastjson,,"Fastjson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object. Fastjson can work with arbitrary Java objects including pre-existing objects that you do not have source-code of.

",,https://github.com/alibaba/fastjson,,6.4K,,25.7K,,#2412,,Convert JSON empty string to date,,2019.5.9,,N/A,,N/A,,N/A,
google/guava,,"Guava is a set of core Java libraries from Google that includes new collection types (such as multimap and multiset), immutable collections, a graph library, and utilities for concurrency, I/O, hashing, primitives, strings, and more! It is widely used on most Java projects within Google, and widely used by many other companies as well.",,https://github.com/google/guava,,11.2K,,51.5K,,#3142,,"Moe Sync
",,2018.5.10,,2018.5.10,,N/A,, 07b4f00,
ReactiveX/RxJava,,RxJava is a Java VM implementation of Reactive Extensions: a library for composing asynchronous and event-based programs by using observable sequences.,,https://github.com/ReactiveX/RxJava,,7.6K,,48.4K,,#4512,,[RxJava 2.0.0-RC2] Observable.switchMap doesn't unsubscribe from inner Observable ,,2016.9.8,,2016.9.9,,2.0.0,, 0cfaf89,
reactor/reactor-core,,Non-Blocking Reactive Streams Foundation for the JVM both implementing a Reactive Extensions inspired API and efficient event streaming support.,,https://github.com/reactor/reactor-core,,1.2K,,5.2K,,#2142,,Switch Europium version in README from snapshot to milestone,,2020.4.30,,2020.6.22,,3.4.0,, 60db8f6,
akka/akka,,"Akka is a powerful platform that simplifies building and operating highly responsive, resilient, and scalable services.",,https://github.com/akka/akka-core,,3.6K,,13.3K,,#15234,,Add new google analytics tracker,,2014..5.20,,2014.5.20,,N/A,,9170243,
playframework/playframework,,"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala. Play is developer friendly with a ""just hit refresh"" workflow and built-in testing support. With Play, applications scale predictably due to a stateless and non-blocking architecture. By being RESTful by default, including assets compilers, JSON & WebSocket support, Play is a perfect fit for modern web & mobile applications.

",,https://github.com/playframework/playframework,,4K,,12.6K,,#5124,,JSR 310,,2015.9.24,,2015.9.24,,N/A,,N/A,
apache/curator,,"Apache Curator is a Java/JVM client library for Apache ZooKeeper, a distributed coordination service.",,https://github.com/apache/curator,,1.3K,,3.2K,,#412,,CURATOR-634: Re-introduce TravisCI for testing on Linux ARM64,,2022.2.28,,2022.7.6,,N/A,,N/A,
hazelcast/hazelcast,,"The world’s leading companies trust Hazelcast to modernize applications and take instant action on data in motion to create new revenue streams, mitigate risk, and operate more efficiently. Businesses use Hazelcast’s unified real-time data platform to process streaming data, enrich it with historical context and take instant action with standard or ML/AI-driven automation - before it is stored in a database or data lake.

Hazelcast is named in the Gartner Market Guide to Event Stream Processing and a leader in the GigaOm Radar Report for Streaming Data Platforms. To join our community of CXOs, architects and developers at brands such as Lowe’s, HSBC, JPMorgan Chase, Volvo, New York Life, and others, visit hazelcast.com.

",,https://github.com/hazelcast/hazelcast,,1.9K,,6.6K,,#15234,,V4.0/hacks/hazelcast,,2019.7.1,,2023.8.16,,N/A,,N/A,
redisson/redisson,,"Redisson is the Java Client and Real-Time Data Platform for Valkey and Redis. Providing the most convenient and easiest way to work with Valkey or Redis. Redisson objects provide an abstraction layer between Valkey or Redis and your Java code, which allowing maintain focus on data modeling and application logic.

",,https://github.com/redisson/redisson,,5.6K,,24.3K,,#1524,,RedissonRateLimiter acquire() method blocks forever,,2018..6.29,,2018.7.3,,2.12.4,,0322f63,
mybatis/mybatis-3,,The MyBatis SQL mapper framework makes it easier to use a relational database with object-oriented applications. MyBatis couples objects with stored procedures or SQL statements using an XML descriptor or annotations. Simplicity is the biggest advantage of the MyBatis data mapper over object relational mapping tools.,,https://github.com/mybatis/mybatis-3,,12.9K,,20.4K,,#2142,,change to try with resources,,2020.12.27,,2020.12.27,,N/A,,N/A,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
